Assessing only games categories with a min rating of: 0.1 and a max rating of: 10.0, and a minimum popularity of: 1000 votes
Printing all categories that more than 50 games have
259, Card Game
160, Dice Rolling
151, Hand Management
147, Economic
126, Fantasy
117, Fighting
86, Medieval
84, Bluffing
78, Area Control / Area Influence
75, City Building
74, Variable Player Powers
72, Modular Board
71, Ancient
70, Exploration
69, Set Collection
65, Adventure
64, Civilization
62, Science Fiction
58, Dice
58, Wargame
57, Tile Placement
56, Animals
55, Card Drafting
51, Expansion for Base-game
