Assessing only games categories with a min rating of: 7.0 and a max rating of: 10.0, and a minimum popularity of: 1000 votes
Printing all categories that more than 10 games have
118, Card Game
117, Economic
80, Fantasy
75, Dice Rolling
72, Fighting
66, Hand Management
57, City Building
57, Medieval
51, Civilization
49, Expansion for Base-game
43, Science Fiction
41, Adventure
40, Wargame
39, Ancient
39, Modular Board
37, Variable Player Powers
35, Area Control / Area Influence
35, Exploration
32, Card Drafting
32, Bluffing
30, Political
29, Dice
28, Nautical
26, Renaissance
25, Territory Building
25, Deduction
24, Farming
24, Industry / Manufacturing
24, Co-operative Play
24, Area Movement
22, Horror
21, Negotiation
20, Abstract Strategy
20, Transportation
19, Miniatures
19, Deck / Pool Building
19, Auction/Bidding
18, Trains
18, Set Collection
17, Animals
16, Grid Movement
15, Novel-based
15, Tile Placement
15, Route/Network Building
14, World War II
13, Humor
13, Space Exploration
13, Movies / TV / Radio theme
12, Racing
12, Action / Movement Programming
12, Campaign / Battle Card Driven
11, Action Point Allowance System
11, Travel
