Assessing games mechanics/categories with a min rating of: 7.0 and a max rating of: 10.0, and a minimum popularity of: 1000 votes
Printing all mechanics/categories that more than 50 games have
246, Hand Management
229, Dice Rolling
147, Card Drafting
134, Area Control / Area Influence
118, Card Game
117, Economic
112, Set Collection
110, Modular Board
104, Variable Player Powers
86, Auction/Bidding
80, Fantasy
75, Grid Movement
74, Area Movement
72, Fighting
69, Tile Placement
67, Action Point Allowance System
63, Worker Placement
63, Co-operative Play
59, Deck / Pool Building
57, City Building
57, Medieval
51, Civilization
51, Route/Network Building
